89.1,KVDP,Dry Prong,LA,2015,14-May,1149,E
89.1,KWFC,Springfield,MO,2009,6-Jul,997,E
89.1,WBUH,Brewster,MA,2014,30-Jun,278,T
89.1,WCID,Friendship,NY,2014,30-Aug,240,T
89.1,WFDU,Teaneck,NJ,2007,8-Sep,74,T
89.1,WGLT,Normal,IL,2015,21-Jun,759,E
89.1,WGMS,Hagerstown,MD,2011,5-Aug,147,T
89.1,WGZS,Cloquet,MN,2013,26-Jul,1007,E
89.1,WIMB,Murphysboro,IL,2015,21-Jun,797,E
89.1,WKSV,Thompson,OH,2014,30-Aug,356,TE
89.1,WLPR,Lowell,IN,2010,24-Jun,662,E
89.1,WMBU,Forest,MS,2015,14-May,970,E
89.1,WPAS,Pascagoula,MS,2015,14-May,1007,E
89.1,WSMR,Sarasota,FL,2009,22-Jun,998,E
89.1,WVJC,Mount Carmel,IL,2015,21-Jun,707,E
89.1,WWCJ,Cape May,NJ,2013,21-Jun,69,T
89.1,WWFM,West Windsor,NJ,2005,,12,G
89.1,WXHL,Christiana,DE,2007,29-Jun,55,T
89.1,ZBM,Hamilton,Bermuda,2011,29-May,775,E
89.3,CIJK,Kentville,NS,2014,14-Jul,633,E
89.3,HILA,Puerto Plata,DR,2007,11-Aug,1424,E
89.3,HIZ,Santo Domingo,DR,2016,13-Jul,1505,E
89.3,KAVK,Many,LA,2012,12-Jun,1193,E
89.3,KAYH,Fayetteville,AR,2011,5-May,1080,E
89.3,KCCU,Lawton,OK,2012,12-Jun,1339,E
89.3,KCMP,Northfield,MN,2007,30-Jun,982,E
89.3,KHCP,Paris,TX,2014,14-May,1217,E
89.3,KKLT,Texarkana,AR,2010,19-Jul,1149,E
89.3,KNON,Dallas,TX,2007,14-Jul,1334,E
89.3,KRSW,Worthington,MN,2007,25-Jun,1112,E
89.3,KSBJ,Humble,TX,2013,8-Jul,1330,E
89.3,KSSO,Norman,OK,2009,12-Jun,1279,E
89.3,KTBJ,Festus,MO,2012,31-May,827,E
89.3,KUND,Grand Forks,ND,2008,9-Jun,1236,E
89.3,KXNE,Norfolk,NE,2010,17-Jun,1174,E
89.3,KZUM,Lincoln,NE,2015,18-Jun,1159,E
89.3,W207CE,Key West,FL,2015,3-Jun,1136,E
89.3,WALN,Carrollton,MS,2008,29-May,876,E
89.3,WATU,Port Gibson,MS,2010,30-Jun,1045,E
89.3,WDDM,Haslet,NJ,2005,,38,T
89.3,WDLM,East Moline,IL,2010,24-Jun,824,E
89.3,WECC,Folkston,GA,2013,11-Jul,743,E
89.3,WFJS,Freehold,NJ,2011,,35,G
89.3,WFLJ,Frostproof,FL,2013,11-Jul,948,E
89.3,WGCF,Paducah,KY,2009,6-Jul,790,E
89.3,WIMV,Owingsville,KY,2015,23-Jun,502,E
89.3,WIPA,Pittsfield,IL,2015,18-Jun,849,E
89.3,WIRC,Ely,MN,2013,7-Jul,999,E
89.3,WJCS,Allentown,PA,2008,10-May,46,T
89.3,WJLP,Monroe,NY,2008,10-May,93,T
89.3,WMSJ,Freeport,ME,2013,21-Sep,340,T
89.3,WNJB,Bridgeton,NJ,2005,,49,G
89.3,WNJY,Netcong,NJ,2010,25-Jul,54,T
89.3,WNKJ,Hopkinsville,KY,2014,1-Jul,719,E
89.3,WNSS,Palm Coast,FL,2015,3-Jun,804,E
89.3,WPFW,Washington,DC,2005,,147,T
89.3,WPIO,Titusville,FL,2015,3-Jun,856,E
89.3,WPNE,Green Bay,WI,2015,22-Jun,750,E
89.3,WQED,Pittsburgh,PA,2014,30-Aug,282,T
89.3,WRDV,Warminster,PA,2005,,18,G
89.3,WRKF,Baton Rouge,LA,2008,1-Jul,1141,E
89.3,WRMB,Boynton Beach,FL,2007,21-Jun,988,E
89.3,WSKG,Binghamton,NY,2006,12-Sep,147,T
89.3,WTEB,New Bern,NC,2007,25-Jul,368,T
89.3,WUMD,North Darmouth,MA,2012,11-Jul,223,T
89.3,WYPL,Memphis,TN,2008,4-Aug,898,E
89.5,CBSM,Sault Ste. Marie,ON,2013,7-Jul,653,E
89.5,CIUT,Toronto,ON,2014,30-Aug,356,T
89.5,CJRL,Kenora,ON,2008,4-Aug,1164,E
89.5,KENW,Portales,NM,2012,12-Jun,1609,E
89.5,KFAA,Horace,ND,2012,10-Jun,1197,E
89.5,KHCD,Salina,KS,2008,28-May,1201,E
89.5,KHKE,Cedar Falls,IA,2010,24-Jun,992,E
89.5,KITA,Iota,LA,2011,24-Jul,1215,E
89.5,KITG,Sarcoxie,MO,2011,25-Jun,1051,E
89.5,KLND,Little Eagle,SD,2013,26-Jul,1365,E
89.5,KMOC,Wichita Falls,TX,2007,26-Jul,1373,E
89.5,KOPN,Columbia,MO,2011,12-Jul,928,E
89.5,KTOT,Spearman,TX,2014,11-Jun,1448,E
89.5,KVNE,Tyler,TX,2011,25-Jun,1247,E
89.5,KWGS,Tulsa,OK,2007,30-Jun,1167,E
89.5,KYFL,Monroe,LA,2007,25-Jun,1095,E
89.5,WAUA,Petersburg,WV,2008,28-Aug,247,T
89.5,WCLQ,Wausau,WI,2013,4-May,825,E
89.5,WFIT,Melbourne,FL,2015,3-Jun,884,E
89.5,WGSG,Mayo,FL,2015,3-Jun,830,E
89.5,WHRV,Norfolk,VA,2007,6-Sep,247,T
89.5,WITF,Harrisburg,PA,2005,,,G
89.5,WKSG,Cedar Creek,FL,2015,3-Jun,844,E
89.5,WMAE,Booneville,MS,2012,24-Jul,852,E
89.5,WNCK,Nantucket,MA,2007,8-Sep,256,T
89.5,WNIJ,DeKalb,IL,2011,3-Aug,750,E
89.5,WOFR,Schoolcraft,MI,2010,24-Jun,580,E
